,order_time,price,volume,amount,commision,total,total volume,total value,cash,credit,market value,lever,back
0,20130422,8.426296,9600,80892.4416,82.51029043200002,80974.951890432,9600,80892.4416,19370.635265034347,0.0,100263.07686503435,0.0,0.0007723023880328306
1,20130424,8.5930995,9400,80775.1353,82.390638006,80857.525938006,19000,163268.89049999998,0.0,61484.953561018556,101783.93693898142,0.60407324976905,-0.0006071052883640515
2,20130425,8.7706789,9200,80690.24588,82.30405079760001,80772.5499307976,28200,247333.14498,0.0,142275.94897788446,105057.19600211555,1.354271334017133,-0.011125434673554757
3,20130426,8.367329,-28200,-235958.6778,476.636529156,-235482.041270844,0,0.0,93163.40950826617,0.0,93163.40950826617,0.0,0.11321248754449798
4,20130503,8.874097,7200,63893.498400000004,65.171368368,63958.669768368,7200,63893.498400000004,29214.05631375753,0.0,93107.55471375753,0.0,0.11374414836007418
5,20130506,9.079050650000001,7100,64461.25961500001,65.75048480730001,64527.01009980731,14300,129830.42429500002,0.0,35311.49308323409,94518.93121176593,0.37359175173193704,0.1003097854442776
6,20130508,9.2896141,6900,64098.337289999996,65.38030403580001,64163.7175940358,21200,196939.81892,0.0,99496.4007511542,97443.41816884579,1.0210684581974647,0.07247269223820174
7,20130509,9.492105050000001,6800,64546.314340000004,65.83724062680001,64612.15158062681,28000,265778.9414,0.0,164138.40125200636,101640.54014799366,1.614891076070756,0.032521864128689404
8,20130625,9.267927,-28000,-259501.956,524.1939511200001,-258977.76204888002,0,0.0,93355.67113785268,0.0,93355.67113785268,0.0,0.251041973365554
9,20130702,10.520018,4300,45236.0774,46.140798948000004,45282.218198948,4300,45236.0774,48096.79419069768,0.0,93332.87159069767,0.0,0.25122488570111157
10,20130712,10.8618076,4200,45619.59192,46.531983758399996,45666.1239037584,8500,92325.3646,2449.9123717278926,0.0,94775.2769717279,0.0,0.23965300073026619
11,20130716,11.2431764,4000,44972.7056,45.872159712000006,45018.577759712,12500,140539.705,0.0,42568.42039062216,97971.28460937782,0.4344989509971936,0.2140126133362501
12,20130724,11.63012315,3900,45357.480285,46.2646298907,45403.744914890696,16400,190734.01966,0.0,88048.84595257562,102685.17370742437,0.8574640600350807,0.17619482429766786
13,20130730,10.99985245,-16400,-180397.58018000002,364.40311196360005,-180033.17706803643,0,0.0,91878.6249444309,0.0,91878.6249444309,0.0,0.26289176876405274
14,20130802,11.749867,4200,49349.4414,50.336430228000005,49399.777830228006,4200,49349.4414,42492.62959704576,0.0,91842.07099704575,0.0,0.2631850275662829
15,20130816,11.10960395,-4200,-46660.33659,94.2538799118,-46566.0827100882,0,0.0,89079.9634029908,0.0,89079.9634029908,0.0,0.28534439536666745
16,20130823,11.899485,4500,53547.6825,54.61863615,53602.30113615,4500,53547.6825,35499.934484802034,0.0,89047.61698480204,0.0,0.2856038987180983
17,20130826,12.20988435,4400,53723.49114,54.7979609628,53778.2891009628,8900,108667.97071499999,0.0,18276.579619436525,90391.39109556346,0.20219380848021448,0.2748232959547996
18,20130830,11.66972035,-8900,-103860.511115,209.79823245230003,-103650.7128825477,0,0.0,85352.19149624085,0.0,85352.19149624085,0.0,0.31525093084537525
19,20130905,12.44585,4500,56006.325,57.126451499999995,56063.4514515,4500,56006.325,29305.811763365673,0.0,85312.13676336568,0.0,0.3155722751550022
20,20130906,12.744505750000002,4400,56075.82530000001,57.19734180600001,56133.02264180601,8900,113426.10117500002,0.0,26825.74558785217,86600.35558714785,0.3097648434117205,0.3052373719148065
21,20130911,12.18041065,-8900,-108405.654785,218.9794226657,-108186.67536233431,0,0.0,81336.77935977747,0.0,81336.77935977747,0.0,0.34746509751778665
22,20130916,12.863707999999999,4200,54027.573599999996,55.108125072,54082.681725072,4200,54027.573599999996,27266.298761645485,0.0,81293.87236164548,0.0,0.34780932449680213
