,order_time,price,volume,amount,commision,total,total volume,total value,cash,credit,market value,lever,back
0,20130422,8.426296,9600,80892.4416,82.51029043200002,80974.951890432,9600,80892.4416,19370.635265034347,0.0,100263.07686503435,0.0,0.0007723023880328306
1,20130424,8.6038754,9400,80876.42876,82.4939573352,80958.9227173352,19000,163473.63259999998,0.0,61586.35034034775,101887.28225965223,0.6044557178726141,-0.001623061884968191
2,20130425,8.7898557,9200,80866.67244000001,82.48400588880001,80949.1564458888,28200,247873.93074,0.0,142553.98269133866,105319.94804866135,1.3535325959852729,-0.014644485035959498
3,20130506,9.000419149999999,9000,81003.77234999998,82.623847797,81086.39619779699,37200,334815.59238,0.0,223811.52066291287,111004.07171708712,2.016246045760689,-0.023950975711301448
4,20130604,9.631573349999998,-37200,-358294.52861999994,723.7549478123999,-357570.7736721875,0,0.0,132345.00234342515,0.0,132345.00234342515,0.0,0.1709686847778067
5,20130617,10.381760000000002,8300,86168.60800000001,87.89198016,86256.49998016,8300,86168.60800000001,46128.210827236704,0.0,132296.8188272367,0.0,0.17127051441315688
6,20130621,9.65879495,-8300,-80167.998085,161.9393561317,-80006.0587288683,0,0.0,126143.4958902167,0.0,126143.4958902167,0.0,0.20981596242506673
7,20130702,10.520018,5900,62068.1062,63.309468324,62131.415668324,5900,62068.1062,64056.237068539805,0.0,126124.34326853981,0.0,0.2099359376629495
8,20130712,10.901386800000001,5700,62137.904760000005,63.38066285520001,62201.2854228552,11600,126456.08688000002,1880.578624897098,0.0,128336.66550489712,0.0,0.19607757972856155
9,20130723,11.394331,5400,61529.3874,62.759975147999995,61592.147375148,17000,193703.62699999998,0.0,59710.91044899358,133992.7165510064,0.4456280310300575,0.1606471263325796
10,20130724,11.736259500000001,5200,61028.5494,62.249120388,61090.798520388,22200,260544.96090000003,0.0,120819.62224251629,139725.33865748375,0.8646937155664223,0.12473701895827694
11,20130730,10.7640603,-22200,-238962.13866000003,482.70352009320004,-238479.43513990683,0,0.0,117514.76409505402,0.0,117514.76409505402,0.0,0.26386778714210835
12,20130802,11.749867,5400,63449.2818,64.718267436,63514.000067436,5400,63449.2818,54018.39212360774,0.0,117467.67392360774,0.0,0.26416276788242254
13,20130826,12.061733299999998,5300,63927.18648999999,65.2057302198,63992.392220219794,10700,129060.54630999998,0.0,9930.769173613546,119129.77713638643,0.08336093135005403,0.25375107429274457
14,20130827,12.369468849999999,5200,64321.23802,65.60766278039999,64386.8456827804,15900,196674.55471499998,0.0,74320.59408714602,122353.96062785396,0.6074228713625057,0.23355424756624
15,20130906,12.671953599999997,5000,63359.76799999998,64.62696335999998,63424.394963359984,20900,264843.8302399999,0.0,137923.54587662715,126920.28436337278,1.0866942708838567,0.20495002900750603
16,20131016,13.237921949999995,-20900,-276672.5687549999,558.8785888850998,-276113.6901661148,0,0.0,137318.61423592016,0.0,137318.61423592016,0.0,0.14095996824151402
17,20140109,13.937816,7000,97564.712,99.51600624,97664.22800624,7000,97564.712,40066.95029505585,0.0,137631.66229505587,0.0,0.13900159707560744
18,20140123,14.2603666,6800,96970.49287999999,98.90990273759999,97069.4027827376,13800,196793.05907999998,0.0,56982.41450440121,139810.64457559877,0.4075684986459635,0.1253702841039891
19,20140124,14.58873905,6700,97744.551635,99.6994426677,97844.2510776677,20500,299069.150525,0.0,154843.7603064202,144225.3902185798,1.0736234450241238,0.09775244614040135
20,20140127,14.91944595,6500,96976.398675,98.91592664850002,97075.3146016485,27000,402825.04065,0.0,251965.52803616063,150859.51261383935,1.6701998015937256,0.056250594808561316
21,20140226,14.068629999999999,-27000,-379853.00999999995,767.3030802,-379085.70691979997,0,0.0,125832.06600164357,0.0,125832.06600164357,0.0,0.22790095832700685
22,20140627,13.635821000000002,7200,98177.91120000002,100.14146942400002,98278.05266942401,7200,98177.91120000002,28077.28836907237,0.0,126255.19956907239,0.0,0.2253046326662076
23,20140716,12.803775500000002,-7200,-92187.18360000002,186.21811087200004,-92000.96548912802,0,0.0,120096.50957171546,0.0,120096.50957171546,0.0,0.2630940356062993
24,20140821,13.88854,9100,126385.714,128.91342828,126514.62742828,9100,126385.714,0.0,6261.894776664354,120123.81922333565,0.05212866871159136,0.26292646499799266
