,order_time,price,volume,amount,commision,total,total volume,total value,cash,credit,market value,lever,back
0,20080110,57.02211,1400,79830.954,81.42757308,79912.38157308,1400,79830.954,21335.306917000766,0.0,101166.26091700076,0.0,0.0007542815166751149
1,20080116,55.15390200000001,-1400,-77215.46280000001,155.97523485600001,-77059.48756514401,0,0.0,98399.06186356845,0.0,98399.06186356845,0.0,0.031334049645302064
2,20090203,21.07599,3600,75873.564,77.39103528,75950.95503528,3600,75873.564,23695.74744708583,0.0,99569.31144708583,0.0,0.01981380846107439
3,20090204,21.515787,3500,75305.2545,76.81135959000001,75382.06585959,7100,152762.0877,0.0,51685.13362513181,101076.95407486819,0.5113443919852233,0.004972182421377758
4,20090205,21.969824,3400,74697.4016,76.191349632,74773.592949632,10500,230683.152,0.0,126474.23211485136,104208.91988514864,1.2136603301736733,-0.020353022724614256
5,20090209,22.71593,3300,74962.569,76.46182038,75039.03082038001,13800,313479.834,0.0,201589.15885718114,111890.67514281883,1.801661832854882,-0.032180607985647924
6,20090813,33.90361,-13800,-467869.818,945.0970323600002,-466924.72096764005,0,0.0,257382.3524236494,0.0,257382.3524236494,0.0,0.17918800653023803
7,20091106,34.91075,5900,205973.425,210.0928935,206183.5178935,5900,205973.425,51907.59237590153,0.0,257881.01737590152,0.0,0.1775977258848197
8,20091116,35.599242499999995,5800,206475.60649999997,210.60511862999996,206686.21161862995,11700,416511.13724999997,0.0,154763.04501835114,261748.09223164883,0.5912671366536066,0.1652653286114506
9,20091117,36.44962,5700,207762.83400000003,211.91809068000003,207974.75209068003,17400,634223.388,0.0,362784.22602253663,271439.1619774634,1.3365213161564995,0.13435976650895087
10,20091125,35.17071,-17400,-611970.354,1236.1801150800002,-610734.1738849201,0,0.0,247296.44630089018,0.0,247296.44630089018,0.0,0.21135273201593996
11,20100802,28.93687,7600,219920.212,224.31861623999998,220144.53061624,7600,219920.212,29225.434065721754,0.0,249145.64606572175,0.0,0.20545549263257745
12,20100817,29.455279,7500,220914.5925,225.33288435,221139.92538435,15100,444774.71290000004,0.0,191898.41331079206,252876.29958920798,0.7588627863604729,0.19355815341439586
13,20100826,28.381901500000005,-15100,-428566.71265000006,865.7047595530001,-427701.00789044704,0,0.0,235399.2450423028,0.0,235399.2450423028,0.0,0.2492938161260827
14,20100906,29.75188,7700,229089.476,233.67126552,229323.14726552,7700,229089.476,6158.4998720380245,0.0,235247.97587203802,0.0,0.249776225071476
15,20100916,28.887694000000003,-7700,-222435.24380000003,449.31919247600007,-221985.92460752404,0,0.0,228146.888310649,0.0,228146.888310649,0.0,0.27242213603693766
16,20101008,29.91435,8200,245297.66999999998,250.20362339999997,245547.8736234,8200,245297.66999999998,0.0,17309.710585547233,227987.95941445275,0.07592379277398771,0.27292897243375513
17,20101011,30.69188,8000,245535.04,250.4457408,245785.4857408,16200,497208.456,0.0,263100.3892395229,234108.0667604771,1.12384162100962,0.2534114823508663
18,20101012,31.21636,7800,243487.608,248.35736016,243735.96536016001,24000,749192.64,0.0,506915.2847164548,242277.3552835452,2.092293289743051,0.22735899687660166
19,20101013,31.76886,7700,244620.222,249.51262644000002,244869.73462644,31700,1007072.862,0.0,751937.0939283097,255135.76807169023,2.947203755911731,0.18635253573383448
20,20101116,32.41758,-31700,-1027637.2860000001,2075.8273177200003,-1025561.45868228,0,0.0,268191.69840361795,0.0,268191.69840361795,0.0,0.2729715683486039
21,20110307,32.874050000000004,7800,256417.59000000003,261.54594180000004,256679.13594180002,7800,256417.59000000003,12493.226267334016,0.0,268910.81626733404,0.0,0.2710221450974667
22,20110308,33.4234375,7700,257360.46875,262.507678125,257622.976428125,15500,518063.28125,0.0,245129.1254994776,272934.1557505224,0.8981255014617512,0.260115460767285
23,20110314,32.37371649999999,-15500,-501792.6057499999,1013.6210636149998,-500778.98468638485,0,0.0,255355.5718401042,0.0,255355.5718401042,0.0,0.30776842827938966
24,20110411,33.6337,8600,289249.82,295.0348164,289544.8548164,8600,289249.82,0.0,33959.36526208179,255290.45473791822,0.13302246375386245,0.3079449512104041
25,20110425,32.8238785,-8600,-282285.3551,570.216417302,-281715.13868269796,0,0.0,247653.7576793145,0.0,247653.7576793145,0.0,0.32864691893931497
