,0,1,2
233,sh,601166,兴业银行
234,sh,601628,中国人寿
235,sh,600066,宇通客车
236,sh,600118,中国卫星
237,sh,600489,中金黄金
238,sh,600048,保利地产
239,sh,600068,葛洲坝
240,sh,601111,中国国航
241,sh,600547,山东黄金
242,sh,601398,工商银行
243,sh,601006,大秦铁路
244,sh,601988,中国银行
245,sh,600415,小商品城
246,sh,600271,航天信息
247,sh,600383,金地集团
248,sz,000768,西飞国际
249,sz,002024,苏宁电器
250,sz,000538,云南白药
251,sz,000157,中联重科
252,sz,000425,徐工科技
253,sz,000568,泸州老窖
254,sh,600019,宝钢股份
255,sz,000630,铜陵有色
256,sz,000651,格力电器
257,sz,000625,长安汽车
258,sz,000709,唐钢股份
259,sz,000792,盐湖钾肥
260,sz,000063,中兴通讯
261,sz,000402,金融街
262,sh,600050,中国联通
263,sh,600036,招商银行
264,sh,600031,三一重工
265,sh,600030,中信证券
266,sh,600029,南方航空
267,sh,600015,华夏银行
268,sh,600028,中国石化
269,sh,600016,民生银行
270,sh,600010,包钢股份
271,sh,600009,上海机场
272,sh,600900,长江电力
273,sh,600795,国电电力
274,sh,600739,辽宁成大
275,sh,600741,巴士股份
276,sh,600690,青岛海尔
277,sh,600221,海南航空
278,sh,600583,海油工程
279,sh,600585,海螺水泥
280,sh,600519,贵州茅台
281,sz,000858,五粮液
282,sh,600309,烟台万华
283,sh,600196,复星医药
284,sh,600000,浦发银行
285,sh,600660,福耀玻璃
286,sh,600085,同仁堂
287,sh,600100,同方股份
288,sh,600104,上海汽车
289,sh,600153,建发股份
290,sh,600188,兖州煤业
291,sh,600177,雅戈尔
292,sh,600170,上海建工
293,sh,600362,江西铜业
