,order_time,price,volume,amount,commision,total,total volume,total value,cash,credit,market value,lever,back
28,20090212,22.644644,-13200,-298909.30079999997,603.796787616,-298305.504012384,0,0.0,166005.9291225134,0.0,166005.9291225134,0.0,0.05382942593811224
29,20090213,23.811929999999997,2900,69054.597,70.43568894,69125.03268893999,2900,69054.597,96889.19673002955,0.0,165943.79373002955,0.0,0.05418357401153806
30,20090216,24.408011499999997,2800,68342.4322,69.70928084399999,68412.141480844,5700,139125.66554999998,28481.899709022066,0.0,167607.56525902206,0.0,0.0447007099294191
31,20090218,23.139492499999996,-5700,-131895.10724999997,266.42811664499993,-131628.67913335498,0,0.0,160113.4271035527,0.0,160113.4271035527,0.0,0.08741444333725734
32,20090324,24.77567,1900,47073.773,48.01524846,47121.78824846,1900,47073.773,113183.88548640146,0.0,160257.65848640146,0.0,0.08659237938430642
33,20090401,25.4909085,1800,45883.6353,46.801308006,45930.436608006,3700,94316.36145,67287.40828872014,0.0,161603.76973872015,0.0,0.07892005790103229
34,20090413,26.219790000000003,1800,47195.622,48.139534440000006,47243.761534440004,5500,144208.84500000003,20067.200880064564,0.0,164276.0458800646,0.0,0.0636891016088521
35,20090414,26.828164,1700,45607.8788,46.520036376,45654.398836376,7200,193162.7808,0.0,25586.194596267433,167576.5862037326,0.15268358889445816,0.04487727874646119
36,20090423,25.517918000000005,-7200,-183729.00960000005,371.1325993920001,-183357.87700060804,0,0.0,157717.90301359445,0.0,157717.90301359445,0.0,0.10106801833518497
37,20090504,27.133049999999997,2400,65119.31999999999,66.42170639999999,65185.74170639999,2400,65119.31999999999,92579.4825929143,0.0,157698.8025929143,0.0,0.10117688345883025
38,20090507,27.835770000000004,2300,64022.27100000001,65.30271642000001,64087.57371642001,4700,130828.11900000002,28505.796493240938,0.0,159333.91549324096,0.0,0.0918573626457132
39,20090601,28.447954000000006,2300,65430.29420000001,66.73890008400001,65497.03310008401,7000,199135.67800000004,0.0,36969.84977508001,162165.82822492003,0.22797558634735138,0.07571653858485405
40,20090603,29.043154000000005,2200,63894.93880000001,65.172837576,63960.11163757601,9200,267197.01680000004,0.0,100952.14664980755,166244.8701501925,0.6072496947340582,0.05246755307898543
41,20090729,36.057378,-9200,-331727.8776,670.090312752,-331057.787287248,0,0.0,228887.10103206098,0.0,228887.10103206098,0.0,0.059607215036113326
42,20090803,37.6559,2700,101670.93000000001,103.70434860000002,101774.63434860001,2700,101670.93000000001,127146.80146529771,0.0,228817.73146529772,0.0,0.05989222297140584
43,20090807,35.884279,-2700,-96887.5533,195.71285766600002,-96691.840442334,0,0.0,223864.07317519042,0.0,223864.07317519042,0.0,0.08024454730156083
44,20091106,34.91075,3200,111714.4,113.948688,111828.348688,3200,111714.4,112697.08199196836,0.0,224411.48199196835,0.0,0.07799549394991967
45,20091116,35.5288525,3200,113692.328,115.96617456,113808.29417456,6400,227384.656,0.0,1077.3988315716415,226307.25716842833,0.004760778973914174,0.07020661773182779
46,20091117,36.44962,3100,112993.82200000001,115.25369844000002,113109.07569844002,9500,346271.39,0.0,114186.79774966113,232084.59225033887,0.4920050772973896,0.04647018084722421
47,20091125,35.189661,-9500,-334301.7795,675.28959459,-333626.48990541,0,0.0,219234.00170594777,0.0,219234.00170594777,0.0,0.09926740085648023
48,20100803,29.252540000000003,4200,122860.66800000002,125.31788136000002,122985.98588136001,4200,122860.66800000002,98097.29129092378,0.0,220957.95929092378,0.0,0.09218444481751964
49,20100804,28.210122000000002,-4200,-118482.5124,239.334675048,-118243.17772495201,0,0.0,216345.37388044034,0.0,216345.37388044034,0.0,0.11113545612610676
