,order_time,volume,price,amount,commision,total,cash,credit,market value,lever,back
0,20080110,1800,57.02211,102639.798,104.69259396,102744.49059396,255.5094060400006,0.0,102895.30740604,0.0,-0.02895307406040004
1,20080116,-1800,55.05717,-99102.906,200.18787012,-98902.71812988,99158.22753592,0.0,99158.22753592,0.0,0.036319244913404325
2,20090203,6200,21.0891,130752.41999999998,133.36746839999998,130885.78746839998,7272.440067520001,0.0,138024.86006752,0.0,-0.34141063909604386
3,20090204,6100,21.66414,132151.254,134.79427908,132286.04827908,0.0,125013.60821155999,141455.31378844002,0.8837674942245706,-0.0248538829834124
4,20090206,5900,22.3728,131999.52000000002,134.6395104,132134.15951040003,0.0,257147.76772196003,150037.19227804,1.713893494123971,-0.06066847727215818
5,20090209,5700,22.966720000000002,130910.30400000002,133.52851008000002,131043.83251008001,0.0,388191.60023204004,160713.00776795996,2.415433608165167,-0.07115446062291131
6,20090812,-23900,33.974000000000004,-811978.6000000001,1640.1967720000002,-810338.403228,440146.80299596,0.0,440146.80299596,0.0,-1.7387129959726164
7,20091106,13000,34.83021,452792.73000000004,461.84858460000004,453254.57858460007,0.0,4107.77558864007,448684.95441135997,0.009155144491147814,-0.019398417430918746
8,20091116,12500,36.257979999999996,453224.74999999994,462.289245,453687.03924499993,0.0,457794.81483364,466783.67516635987,0.9807429847894397,-0.04033725797368004
9,20091124,12200,36.876082499999995,449888.2065,458.88597063,450347.09247062996,0.0,908141.90730427,482086.4029457299,1.8837741569875859,-0.03278333967852709
10,20091125,-37700,36.296290000000006,-1368370.1330000001,2764.1076686600004,-1365606.02533134,457464.1180270701,0.0,457464.1180270701,0.0,0.051074423107991374
11,20100802,18500,29.17275,539695.875,550.4897925,540246.3647925,0.0,55782.24676542997,483913.62823457003,0.1152731469228024,-0.0037902443994999313
12,20100813,-18500,28.55547,-528276.195,1067.1179138999998,-527209.0770861,471426.83032067004,0.0,471426.83032067004,0.0,0.025803774031855076
13,20100817,17800,29.422909999999998,523727.79799999995,534.20235396,524262.00035396,0.0,52835.170033289935,470892.62796671,0.11220216010055087,0.02690769490283562
14,20100827,-17800,28.585659999999997,-508824.74799999996,1027.82599096,-507796.92200903996,454961.75197575,0.0,454961.75197575,0.0,0.059828602811710874
15,20100906,18900,29.75188,562310.532,573.5567426399999,562884.08874264,0.0,104922.33676688996,457388.19523311005,0.22939450090839314,0.0548143954908461
16,20100916,-18900,28.577890000000004,-540122.121,1091.0466844200002,-539031.0743155801,434108.7375486901,0.0,434108.7375486901,0.0,0.10292103338271297
17,20101008,19300,30.44233,587536.9689999999,599.2877083799999,588136.25670838,0.0,151027.51915968984,436509.4498403101,0.34598911710832564,0.09795999870307737
18,20101011,18700,31.32895,585851.365,597.5683923,586448.9333923,0.0,737476.4525519898,453023.64744801004,1.6278983596250882,0.06383366572926219
19,20101013,18300,32.17577,588816.591,600.59292282,589417.18392282,0.0,1326893.6364748098,484602.2145251902,2.7381088998425045,-0.001422952879281958
20,20101014,18000,32.6817675,588271.815,600.0372513,588871.8522512999,0.0,1915765.4887261097,512489.83652389003,3.738153134353534,-0.05754745059517319
21,20101115,-74300,33.14893,-2462965.499,4975.1903079799995,-2457990.30869202,545224.8199659102,0.0,545224.8199659102,0.0,-0.06387440512782572
22,20110307,19900,33.3451,663567.49,676.8388398000001,664244.3288398,0.0,107019.5088738898,556547.9811261102,0.19229161276867496,-0.02076787546265413
23,20110315,-19900,32.039609999999996,-637588.239,1287.92824278,-636300.3107572199,529280.8018833301,0.0,529280.8018833301,0.0,0.04899340248725381
24,20110411,22400,33.55487,751629.088,766.66166976,752395.74966976,0.0,220114.9477864299,531514.1402135701,0.41412811274970884,0.04498056189492783
25,20110425,-22400,32.49574,-727904.576,1470.36724352,-726434.20875648,506319.2609700501,0.0,506319.2609700501,0.0,0.09025047589684554
26,20120224,24600,26.480170000000008,651412.1820000001,664.4404256400002,652076.6224256401,0.0,115757.36145559,535654.8205444101,0.21610439599505624,0.0375406277450242
27,20120227,24200,26.91250150000001,651282.5363000002,664.3081870260002,651946.8444870261,0.0,767704.2059426161,545625.8672573844,1.4070157813476103,0.019624747980625523
