,order_time,price,volume,amount,commision,total,total volume,total value,cash,credit,market value,lever,back
15,20130828,12.396830781818181,2900,35950.80926727273,36.669825452618184,35987.47909272535,9000,111571.47703636363,0.0,6719.967320010997,104851.50971635264,0.06409032486217937,0.2201055542253192
16,20130906,12.720312672727271,2900,36888.90675090909,37.62668488592727,36926.53343579502,11900,151371.72080545453,0.0,43660.62539426855,107711.09541118599,0.40534937675264154,0.19883571264983413
17,20131025,12.582353000000001,-11900,-149730.0007,302.454601414,-149427.546098586,0,0.0,105398.68224740864,0.0,105398.68224740864,0.0,0.21603563840812723
18,20140109,13.937816,3000,41813.448,42.64971696,41856.097716959994,3000,41813.448,63822.25444569184,0.0,105635.70244569183,0.0,0.2142726620172527
19,20140123,14.281803436363637,2900,41417.22996545455,42.24557456476364,41459.47554001931,5900,84262.64027454545,22394.69721385649,0.0,106657.33748840194,0.0,0.2066736536903928
20,20140124,14.625790872727274,2900,42414.7935309091,43.26308940152728,42458.05662031062,8800,128706.95968000001,0.0,20062.239671593437,108644.72000840658,0.1846591318017211,0.1918913335008765
21,20140130,14.96977830909091,2800,41915.37926545455,42.753686850763636,41958.132952305314,11600,173649.42838545455,0.0,62044.458147280966,111604.97023817358,0.5559291670870332,0.16987274055410806
22,20140226,13.987336,-11600,-162253.0976,327.75125715200005,-161925.346342848,0,0.0,99619.79271695996,0.0,99619.79271695996,0.0,0.2590195101686258
23,20140627,13.635821000000002,3900,53179.70190000001,54.243295938,53233.94519593801,3900,53179.70190000001,46800.118321475544,0.0,99979.82022147556,0.0,0.25634159497353304
24,20140702,13.887487563636364,3900,54161.20149818182,55.24442552814546,54216.445923709965,7800,108322.40299636364,0.0,7409.307233479449,100913.09576288419,0.07342265319943331,0.2493998121313884
25,20140710,13.132487872727273,-7800,-102433.40540727273,206.9154789226909,-102226.48992835004,0,0.0,94803.83593528364,0.0,94803.83593528364,0.0,0.2948410062565786
26,20140821,13.88854,3700,51387.598000000005,52.41534996000001,51440.013349960005,3700,51387.598000000005,43506.13148652768,0.0,94893.72948652768,0.0,0.2941723703779361
27,20140903,14.143073054545455,3600,50915.06299636364,51.93336425629091,50966.99636061993,7300,103244.43329818183,0.0,7441.283198914585,95803.15009926725,0.07767263593320507,0.28740802252383946
28,20140910,14.39760610909091,3500,50391.621381818186,51.399453809454556,50443.02083562764,10800,155494.14597818183,0.0,57893.23759347757,97600.90838470426,0.5931628972681819,0.27403614351655925
29,20140911,14.652139163636363,3500,51282.48707272727,52.308136814181815,51334.79520954145,14300,209525.59003999998,0.0,109245.40077429707,100280.18926570291,1.0894016213395838,0.25410742447938117
30,20140917,13.88854,-14300,-198606.122,401.18436644,-198204.93763356,0,0.0,88828.38337401798,0.0,88828.38337401798,0.0,0.33928693055588666
31,20141008,14.68319,3900,57264.441,58.409729819999995,57322.85072982,3900,57264.441,31549.956830410752,0.0,88814.39783041074,0.0,0.33939095621855886
32,20141023,14.02162,-3900,-54684.318,110.46232236,-54573.85567764,0,0.0,86141.16932307737,0.0,86141.16932307737,0.0,0.3592746571857247
33,20141127,14.85728,4000,59429.119999999995,60.6177024,59489.737702399994,4000,59429.119999999995,26759.17271298082,0.0,86188.29271298082,0.0,0.3589241494042803
34,20141203,15.072078,3900,58781.104199999994,59.95672628399999,58841.06092628399,7900,119069.41619999999,0.0,32076.535977359596,86992.8802226404,0.3687259910841703,0.35293955908583197
35,20141204,15.337670000000001,3800,58283.146,59.448808920000005,58342.59480892,11700,179450.739,0.0,90428.7537470728,89021.9852529272,1.0158024839611104,0.3378469033167816
36,20141205,15.579210000000002,3800,59200.99800000001,60.385017960000006,59261.383017960005,15500,241477.75500000003,0.0,149717.26539115692,91760.48960884311,1.6316092691895185,0.317477675036843
37,20141208,14.934816000000001,-15500,-231489.64800000002,467.60908896,-231022.03891104003,0,0.0,81259.85834026575,0.0,81259.85834026575,0.0,0.3955822633794007
38,20141212,15.60655,3100,48380.305,49.3479111,48429.6529111,3100,48380.305,32846.458619772355,0.0,81226.76361977236,0.0,0.3958284247247842
39,20141215,15.867045090909091,3000,47601.135272727275,48.55315797818182,47649.68843070546,6100,96788.97505454546,0.0,14801.587488002107,81987.38756654336,0.18053493259543985,0.3901708391257339
40,20141216,16.127540181818183,3000,48382.62054545455,49.35027295636364,48431.97081841091,9100,146760.61565454546,0.0,63237.998782659415,83522.61687188604,0.7571362243074727,0.37875167299768964
41,20141219,15.34605490909091,-9100,-139649.0996727273,282.0911813389091,-139367.00849138838,0,0.0,76072.07843385747,0.0,76072.07843385747,0.0,0.43416941148870747
42,20150119,16.13533,2000,32270.66,32.9160732,32303.576073199998,2000,32270.66,43840.80336519937,0.0,76111.46336519936,0.0,0.4338764630201174
43,20150120,16.502999090909093,2000,33005.998181818184,33.66611814545455,33039.66429996364,4000,66011.99636363637,10803.331105403995,0.0,76815.32746904036,0.0,0.4286410619596007
44,20150121,16.870668181818182,1900,32054.269545454546,32.695354936363636,32086.96490039091,5900,99536.94227272728,0.0,21283.093628431645,78253.84864429563,0.2719750401692619,0.4179412191271433
45,20150204,17.238337272727275,1900,32752.840818181823,33.40789763454546,32786.24871581637,7800,134459.03072727274,0.0,54133.27789065594,80325.7528366168,0.673921824309116,0.40253021955126844
46,20150619,31.942470000000004,-7800,-249151.26600000003,503.2855573200001,-248647.98044268004,0,0.0,193033.41887416426,0.0,193033.41887416426,0.0,0.21707693370833048
47,20151106,25.89768,1900,49205.592000000004,50.18970384,49255.78170384,1900,49205.592000000004,144667.61402539205,0.0,193873.20602539205,0.0,0.21367084612356768
48,20151110,26.87682781818182,1900,51065.972854545456,52.08729231163637,51118.06014685709,3800,102131.94570909091,93564.02100160657,0.0,195695.96671069748,0.0,0.20627792217714203
49,20151130,23.939384363636364,-3800,-90969.66058181819,183.75871437527275,-90785.90186744291,0,0.0,184415.43897382327,0.0,184415.43897382327,0.0,0.2520305458246519
50,20160405,21.727990000000002,2300,49974.37700000001,50.97386454000001,50025.35086454001,2300,49974.37700000001,135166.2423322314,0.0,185140.6193322314,0.0,0.24908929123189405
51,20160421,20.35704,-2300,-46821.192,94.57880784000001,-46726.61319216,0,0.0,181973.9775759384,0.0,181973.9775759384,0.0,0.26193285421774337
52,20160713,21.45944,3700,79399.928,80.98792656,79480.91592656,3700,79399.928,103003.29001736341,0.0,182403.2180173634,0.0,0.2601919005293257
53,20160727,20.58279,-3700,-76156.323,153.83577246,-76002.48722754,0,0.0,179057.2904793275,0.0,179057.2904793275,0.0,0.2737626276238735
54,20170817,16.224727,7700,124930.39790000001,127.42900585800001,125057.826905858,7700,124930.39790000001,56324.20685927113,0.0,181254.60475927114,0.0,0.2648505540373749
55,20170828,16.458731981818183,7600,125086.36306181819,127.58809032305456,125213.95115214125,15300,251818.59932181818,0.0,68870.02786320203,182948.57145861615,0.3764447424438117,0.25798000483308536
56,20170904,16.692736963636364,7500,125195.52722727273,127.69943777181818,125323.22666504455,22800,380594.4027709091,0.0,194296.62157166417,186297.7811992449,1.0429357790572102,0.24439596547305964
57,20170906,16.926741945454545,7400,125257.89039636363,127.76304820429091,125385.65344456791,30200,511187.60675272724,0.0,319798.870475871,191388.73627685622,1.6709388268976353,0.22374759182375437
58,20170925,16.224727,-30200,-489986.7554,989.7732459080001,-488996.982154092,0,0.0,167948.6486239544,0.0,167948.6486239544,0.0,0.31881810037294334
59,20180309,16.0875,5400,86872.49999999999,88.60994999999998,86961.10994999998,5400,86872.49999999999,81896.89168635188,0.0,168769.39168635185,0.0,0.3154892535919166
60,20180312,16.438526,5300,87124.1878,88.866671556,87213.054471556,10700,175892.22819999998,0.0,5312.067940619789,170580.16025938018,0.031141182729236407,0.3081449683805352
61,20180323,15.282954,-10700,-163527.6078,330.325767756,-163197.282032244,0,0.0,157870.8542850312,0.0,157870.8542850312,0.0,0.35969256496723223
62,20180402,16.810356,4100,68922.4596,70.30090879200002,68992.76050879201,4100,68922.4596,88925.46095307652,0.0,157847.92055307652,0.0,0.35978558175079334
63,20180417,15.659027236363636,-4100,-64202.011669090905,129.68806357156365,-64072.32360551934,0,0.0,153037.8090202501,0.0,153037.8090202501,0.0,0.3792948837796837
