,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
15,000905.SH,20181203,4515.1735,4483.6634,4536.8317,4460.3878,4376.6511,138.5224,3.165,96265752.0,72617444.6
16,000905.SH,20181130,4376.6511,4334.0405,4385.0031,4291.8111,4345.703,30.9481,0.7122,63848789.0,44026264.2
17,000905.SH,20181129,4345.703,4462.7925,4473.3074,4344.9003,4441.8569,-96.1539,-2.1647,77102481.0,52609677.0
18,000905.SH,20181128,4441.8569,4389.8322,4441.8569,4333.0553,4387.6515,54.2054,1.2354,72507931.0,50581746.7
19,000905.SH,20181127,4387.6515,4393.2898,4416.357,4361.0232,4367.4619,20.1896,0.4623,62352710.0,43832226.111
20,000905.SH,20181126,4367.4619,4371.4238,4408.1135,4347.7472,4374.7644,-7.3025,-0.1669,68584699.0,45641649.8
21,000905.SH,20181123,4374.7644,4542.1102,4547.5147,4365.3486,4551.3264,-176.562,-3.8794,92074828.0,64245132.8
22,000905.SH,20181122,4551.3264,4562.6424,4583.3734,4528.2409,4554.6746,-3.3482,-0.0735,75274993.0,54157291.8
23,000905.SH,20181121,4554.6747,4483.378,4564.5342,4476.4164,4537.4493,17.2254,0.3796,90156627.0,65298600.6
24,000905.SH,20181120,4537.4493,4629.1263,4645.9,4535.8739,4670.737,-133.2877,-2.8537,103124225.0,76300239.2
25,000905.SH,20181119,4670.737,4660.475,4677.9674,4612.4837,4659.0964,11.6406,0.2498,111015106.0,82549163.3
26,000905.SH,20181116,4659.0965,4625.0038,4691.5609,4609.8319,4619.814,39.2825,0.8503,110671824.0,82381068.9
27,000905.SH,20181115,4619.8141,4540.8808,4619.8141,4539.9556,4545.5089,74.3052,1.6347,98305200.0,69668883.5
28,000905.SH,20181114,4545.5089,4551.7973,4600.1289,4534.5243,4563.5351,-18.0262,-0.395,112598830.0,74023764.8
29,000905.SH,20181113,4563.5351,4430.9498,4588.4964,4422.9479,4481.6881,81.847,1.8263,128710363.0,84982054.2
30,000905.SH,20181112,4481.6881,4360.6321,4481.7736,4354.4675,4368.6143,113.0738,2.5883,86990536.0,59949621.3
31,000905.SH,20181109,4368.6143,4363.2135,4396.3932,4348.8119,4382.3286,-13.7143,-0.3129,67424960.0,45846347.5
32,000905.SH,20181108,4382.3286,4442.6555,4450.9818,4379.8833,4415.136,-32.8074,-0.7431,72145355.0,51522224.3
33,000905.SH,20181107,4415.136,4437.7218,4479.6944,4414.0703,4438.0964,-22.9604,-0.5174,78086368.0,58896533.6
34,000905.SH,20181106,4438.0965,4427.3572,4440.1054,4385.3273,4440.8274,-2.7309,-0.0615,69803049.0,51219257.0
35,000905.SH,20181105,4440.8274,4427.6324,4466.1357,4375.0414,4437.9456,2.8818,0.0649,87777277.0,66155141.6
