,date,date_str,open,high,low,close,long_wave,short_wave,long_high,short_low,state,key_prices
25,735810.0,20150731,64.56,70.05,62.88,66.87,4.104285714285715,5.0920000000000005,72.63,31.58,0,0.0
26,735813.0,20150803,66.5,67.0,61.2,61.97,4.243571428571428,5.450500000000001,72.63,33.25,0,0.0
27,735814.0,20150804,62.08,65.1,60.0,63.88,4.333928571428571,5.740500000000001,72.63,33.25,0,0.0
28,735815.0,20150805,62.2,67.0,61.16,64.06,3.8449090909090913,5.7475000000000005,72.63,33.8,0,0.0
29,735816.0,20150806,62.69,64.1,61.18,61.52,3.8916363636363633,5.889500000000001,72.63,35.0,0,0.0
30,735817.0,20150807,61.16,67.6,61.16,66.9,3.5434090909090905,5.843999999999999,72.63,42.71,0,0.0
31,735820.0,20150810,66.79,73.0,66.79,71.16,3.259181818181818,6.1659999999999995,72.63,46.98,0,0.0
32,735821.0,20150811,70.64,75.37,68.11,71.99,3.486753246753246,6.4765,73.0,51.06,0,0.0
33,735822.0,20150812,71.2,77.0,69.89,74.8,3.389428571428571,6.839499999999999,75.37,51.06,0,0.0
34,735823.0,20150813,75.5,77.0,71.12,74.05,3.2893766233766226,7.102500000000001,77.0,51.06,0,0.0
35,735824.0,20150814,73.7,75.2,71.88,73.99,3.854935064935064,6.849500000000001,77.0,51.68,0,0.0
36,735827.0,20150817,74.49,77.44,72.56,74.25,3.8843766233766237,6.6034999999999995,77.0,51.68,0,0.0
37,735828.0,20150818,73.12,73.88,67.7,68.0,3.823094155844156,6.654999999999999,77.44,51.68,0,0.0
38,735829.0,20150819,66.66,71.8,66.0,71.29,3.7994610389610393,6.763,77.44,52.47,0,0.0
39,735830.0,20150820,70.97,73.56,68.0,69.0,3.9622467532467525,6.735499999999999,77.44,52.47,0,0.0
40,735831.0,20150821,67.66,69.75,66.0,66.6,3.948675324675324,6.436999999999999,77.44,52.47,0,0.0
41,735834.0,20150824,60.7,62.5,59.94,59.94,3.9021948051948048,6.342499999999999,77.44,52.47,0,0.0
42,735835.0,20150825,55.0,59.94,53.95,53.95,4.352727272727273,5.937499999999999,77.44,52.47,0,0.0
43,735836.0,20150826,54.5,59.35,51.0,57.28,4.402181818181818,5.823999999999999,77.44,52.47,0,0.0
44,735837.0,20150827,58.9,61.69,56.03,58.66,4.360772727272726,5.739999999999998,77.44,51.0,0,0.0
45,735838.0,20150828,59.28,61.3,57.0,60.2,4.2704545454545455,5.588999999999999,77.44,51.0,0,0.0
46,735841.0,20150831,60.17,60.17,54.18,54.18,4.403844155844156,5.445499999999998,77.44,51.0,0,0.0
47,735842.0,20150901,53.0,57.2,50.0,52.28,4.402337662337662,5.454999999999998,77.44,51.0,0,0.0
48,735843.0,20150902,48.8,55.5,48.7,52.26,4.422831168831168,5.56,77.44,50.0,0,0.0
49,735848.0,20150907,53.03,56.0,52.98,54.27,4.741818181818182,5.607999999999999,77.44,48.7,0,0.0
50,735849.0,20150908,54.28,57.95,53.3,57.95,4.737272727272726,5.6129999999999995,77.44,48.7,0,0.0
51,735850.0,20150909,58.58,60.49,57.52,59.17,4.70290909090909,5.523499999999999,77.44,48.7,0,0.0
52,735851.0,20150910,58.1,59.0,57.08,57.4,4.756909090909091,5.3615,77.44,48.7,0,0.0
53,735852.0,20150911,57.4,61.38,57.04,60.12,4.732363636363636,5.094499999999999,77.44,48.7,0,0.0
54,735855.0,20150914,60.3,61.98,54.11,54.11,4.751818181818181,4.9559999999999995,77.44,48.7,0,0.0
55,735856.0,20150915,52.2,56.18,52.11,54.32,4.835454545454545,5.055499999999999,77.44,48.7,0,0.0
56,735857.0,20150916,54.8,59.75,54.0,59.64,4.85,5.092999999999999,77.44,48.7,0,0.0
57,735858.0,20150917,59.5,62.2,58.26,58.26,4.954545454545454,5.1365,77.44,48.7,0,0.0
58,735859.0,20150918,58.55,61.0,57.69,59.6,5.0261818181818185,5.024500000000001,77.44,48.7,0,0.0
59,735862.0,20150921,59.0,62.88,58.51,61.65,5.086363636363636,4.9,77.44,48.7,0,0.0
60,735863.0,20150922,61.5,62.88,60.66,61.26,5.165818181818182,4.840500000000001,77.44,48.7,0,0.0
61,735864.0,20150923,60.1,61.98,59.18,59.9,5.206181818181819,4.764000000000001,77.44,48.7,0,0.0
62,735865.0,20150924,59.92,61.15,59.1,59.87,5.257090909090909,4.776000000000002,77.44,48.7,0,0.0
63,735866.0,20150925,59.33,60.5,55.8,56.8,5.2041818181818185,4.579000000000001,77.44,48.7,0,0.0
64,735869.0,20150928,57.0,58.6,56.8,58.46,5.235090909090909,4.396500000000001,77.44,48.7,0,0.0
65,735870.0,20150929,57.45,58.49,57.08,58.0,5.198181818181817,4.203500000000001,77.44,48.7,0,0.0
66,735871.0,20150930,58.7,58.76,57.6,58.28,5.2238181818181815,4.059000000000002,77.44,48.7,0,0.0
67,735879.0,20151008,60.88,62.5,59.5,61.2,5.244909090909092,3.8175000000000012,77.44,48.7,0,0.0
68,735880.0,20151009,61.0,64.98,60.5,64.0,5.299454545454546,3.6075000000000017,77.44,48.7,0,0.0
69,735883.0,20151012,64.3,70.3,63.75,68.59,5.347272727272728,3.491500000000002,77.44,52.11,0,0.0
70,735884.0,20151013,68.59,72.0,68.0,70.0,5.267454545454546,3.6680000000000015,77.44,52.11,0,0.0
71,735885.0,20151014,70.0,70.66,67.3,68.23,5.190363636363637,3.6355000000000013,77.44,52.11,0,0.0
72,735886.0,20151015,69.41,71.6,68.01,70.2,5.181454545454546,3.655000000000001,77.44,52.11,0,0.0
73,735887.0,20151016,70.5,70.54,68.3,69.53,5.173636363636363,3.7385000000000006,77.44,52.11,0,0.0
74,735890.0,20151019,69.4,69.88,66.21,67.39,5.098909090909092,3.6335000000000006,77.44,52.11,0,0.0
75,735891.0,20151020,67.4,69.88,67.23,68.9,4.956,3.4235000000000015,77.44,52.11,0,0.0
76,735892.0,20151021,68.8,70.78,65.0,66.6,4.901636363636364,3.3525000000000005,77.44,54.0,0,0.0
77,735893.0,20151022,66.61,70.5,65.8,70.1,4.81290909090909,3.3540000000000005,77.44,55.8,0,0.0
78,735894.0,20151023,72.0,75.0,68.0,70.78,4.748181818181818,3.3920000000000003,77.44,55.8,0,0.0
79,735897.0,20151026,70.78,70.98,67.59,68.9,4.693090909090909,3.5765000000000002,77.44,55.8,0,0.0
80,735898.0,20151027,69.98,75.79,69.36,75.79,4.596909090909091,3.5275000000000007,77.44,55.8,0,0.0
81,735899.0,20151028,77.08,79.57,72.77,73.72,4.583454545454545,3.7380000000000004,77.44,55.8,1,77.44
82,735900.0,20151029,73.32,76.7,73.32,74.73,4.601636363636364,3.938,79.57,55.8,1,77.44
83,735901.0,20151030,74.3,82.0,73.03,79.61,4.570363636363637,4.004500000000001,79.57,55.8,1,77.44
84,735904.0,20151102,77.0,87.4,76.2,81.7,4.627272727272728,4.218000000000001,82.0,56.8,2,82.02345454545454
85,735905.0,20151103,81.2,88.0,81.2,84.01,4.777818181818183,4.688000000000001,87.4,57.08,3,86.60690909090908
86,735906.0,20151104,84.85,87.66,82.5,86.6,4.784363636363637,4.9575000000000005,88.0,57.6,3,86.60690909090908
